rank,video_id,creator,views,likes,comments,saves,reposts,engagement_rate,score,upload_date,ai_phan_tich_tong_the,hook_analysis,viral_mechanics,buyer_psychology,winning_formula,top_buying_intent_questions,top_customer_objections,comments_analyzed_count,url,caption
11,7589341626066128142,temu,6600000,9677,85,2727,1571,0.00213,57.85,2025-12-30,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #11]: 0-3s quick visual reveal -> tactile proof (touching leaves) -> styled living room context -> recommendation. | [TÂM LÝ KHÁCH]: Desire for elevated living space and prestige; validates realistic faux items as tasteful and practical. (Khán giả phản hồi thực tế: Phân tích từ 72 bình luận thực tế: 4.2% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 1.4% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Aesthetic Transformation / Visual Shock Hook: Opening with 'Bring a natural vibe indoors! 🍃 Realistic branches and fruits make this tal...' to capture viewer attention within 3 seconds.,"Driven by 6,600,000 views and 2,727 saves (85 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'Where is my order😪💔, GIVE ME MY ORDER BRO, I want to collab with u giues give one jst one chance' & Rào cản/lo lắng: 'Not good quality, doesn’t stay stable and completely different from what shown'","Desire for elevated living space and prestige; validates realistic faux items as tasteful and practical. (Khán giả phản hồi thực tế: Phân tích từ 72 bình luận thực tế: 4.2% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 1.4% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",0-3s quick visual reveal -> tactile proof (touching leaves) -> styled living room context -> recommendation.,Where is my order😪💔; GIVE ME MY ORDER BRO; I want to collab with u giues give one jst one chance,"Not good quality, doesn’t stay stable and completely different from what shown",72,https://www.tiktok.com/@temu/video/7589341626066128142,Bring a natural vibe indoors! 🍃 Realistic branches and fruits make this tall tree perfect for home or office decor. 🔍 Find it at https://temu.to/m/ggwwwmor9wp or with this code fdg8857. #Temu #HomeDecor
12,7492877631818337578,hannnnahadams,182900,3195,48,1478,407,0.028037,57.39,2025-04-14,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #12]: Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA. | [TÂM LÝ KHÁCH]: Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price. (Khán giả phản hồi thực tế: Phân tích từ 36 bình luận thực tế: 41.7% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Bargain Discovery / Smart Shopper Hook: Opening with '& 1/3 of the price 😩😩😩 in my amazn SF! #10ftolivetree #olivetree #fauxolive...' to capture viewer attention within 3 seconds.,"Driven by 182,900 views and 1,478 saves (48 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'Love it! Where did you get the pot and what size? 😍, Do you have the pot entry link?, Dang it Hannah I NEED this 🤣'","Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price. (Khán giả phản hồi thực tế: Phân tích từ 36 bình luận thực tế: 41.7% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA.,Love it! Where did you get the pot and what size? 😍; Do you have the pot entry link?; Dang it Hannah I NEED this 🤣; I can’t find this exact tree on your Amazon,,36,https://www.tiktok.com/@hannnnahadams/video/7492877631818337578,& 1/3 of the price 😩😩😩 in my amazn SF! #10ftolivetree #olivetree #fauxolivetree #amazonhome #homedecor #home #interiordesign #homedecor 
13,7335944742053661994,brenna_anastasia,472400,5005,31,5183,2589,0.027113,57.05,2024-02-16,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #13]: Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA. | [TÂM LÝ KHÁCH]: Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price. (Khán giả phản hồi thực tế: Phân tích từ 22 bình luận thực tế: 50.0% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Bargain Discovery / Smart Shopper Hook: Opening with 'finally found the perfect olive tree and vase #amazonhomedecor #homedecorti...' to capture viewer attention within 3 seconds.,"Driven by 472,400 views and 5,183 saves (31 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'Where’s your plant pot from?😍, What is the height of the olive tree you purchased on amazon!? 🤍, Is olive tree from Amazon ?'","Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price. (Khán giả phản hồi thực tế: Phân tích từ 22 bình luận thực tế: 50.0% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA.,Where’s your plant pot from?😍; What is the height of the olive tree you purchased on amazon!? 🤍; Is olive tree from Amazon ?; Where'd u get the moss from,,22,https://www.tiktok.com/@brenna_anastasia/video/7335944742053661994,finally found the perfect olive tree and vase #amazonhomedecor #homedecortips 
14,7663644387955576078,christine.things,1256,82,75,38,10,0.163217,55.25,2026-07-18,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #14]: Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA. | [TÂM LÝ KHÁCH]: Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price.",Bargain Discovery / Smart Shopper Hook: Opening with 'Check this out now! Faux olive tree! 🌳 #dealsforyoudays #fauxolivetree #hom...' to capture viewer attention within 3 seconds.,"Driven by 1,256 views and 38 saves (75 comments) due to high shareability and home decor reference value.",Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price.,Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA.,,,0,https://www.tiktok.com/@christine.things/video/7663644387955576078,Check this out now! Faux olive tree! 🌳 #dealsforyoudays #fauxolivetree #homedecor #fakeplants #plants 
15,7481280396638850305,elleshowroom1,208000,970,58,259,231,0.007298,54.52,2025-03-13,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #15]: Step-by-step unboxing/crafting -> satisfying reveal -> cost breakdown vs commercial alternatives. | [TÂM LÝ KHÁCH]: Taps into pride of home improvement and cost-saving ingenuity; viewers trust creators who build with their hands. (Khán giả phản hồi thực tế: Phân tích từ 36 bình luận thực tế: 19.4% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)","DIY Craftsmanship / Process Hook: Opening with 'Artificial Olive Tree Plant  ✅Available Size 120cm, 150cm and 180cm Tall ✅P...' to capture viewer attention within 3 seconds.","Driven by 208,000 views and 259 saves (58 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'Ano size nyan miii, Anong size po nbili nyo, Maam bakit parang maliit yung 150cm 5ft na nasa reviews ng shop na nasa yellow basket po? 😌Tapos sa inyu mas malaki? Bibilinsana ako kaso baka maliit sa personal'","Taps into pride of home improvement and cost-saving ingenuity; viewers trust creators who build with their hands. (Khán giả phản hồi thực tế: Phân tích từ 36 bình luận thực tế: 19.4% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Step-by-step unboxing/crafting -> satisfying reveal -> cost breakdown vs commercial alternatives.,Ano size nyan miii; Anong size po nbili nyo; Maam bakit parang maliit yung 150cm 5ft na nasa reviews ng shop na nasa yellow basket po? 😌Tapos sa inyu mas malaki? Bibilinsana ako kaso baka maliit sa personal; how much po,,36,https://www.tiktok.com/@elleshowroom1/video/7481280396638850305,"Artificial Olive Tree Plant  ✅Available Size 120cm, 150cm and 180cm Tall ✅Perfect for Living Room, Bedroom, Office and Dining Room  ✅Very Realistic Artificial Plant ✅Made in Environment Friendly Materials #fakeplant #artificialplant #faketree #artificialplants #artificialplant #fakeplants #artificialplants #tree #plants #plant #artificialolivetree #artificialoliveplant #olivetree #fakeolivetree #fakeoliveoils #homedecor #planthomedecor #plantdecoration #decorationplant #fyp #fypシ゚viral #ttsbudolfinds #wowsulitdeals #paydaysale #fridayfriyay #MySweldoBudol  #TikTokShopFuntasticPayday #SummerSayaSale #bonggangfridayfriyay #lifestylechallenge  #techsaya #techbudolfest #tiktokshopelectronics #homeliving #hometokshop #homeimprovement #householdappliances #buymoresavemore #tiktokhomebudol #tiktokshopph44 #sale44 #tiktokshopontrend@MODOFO Official Mall "
16,7650340847006928142,naturally_michelle,514700,2024,56,1130,435,0.007082,54.03,2026-06-12,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #16]: Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA. | [TÂM LÝ KHÁCH]: Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price.",Bargain Discovery / Smart Shopper Hook: Opening with 'The olive tree that’s perfect for your living room 🌿#fauxolivetree #olivetr...' to capture viewer attention within 3 seconds.,"Driven by 514,700 views and 1,130 saves (56 comments) due to high shareability and home decor reference value.",Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price.,Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA.,,,0,https://www.tiktok.com/@naturally_michelle/video/7650340847006928142,The olive tree that’s perfect for your living room 🌿#fauxolivetree #olivetree #homedecor #neutralaesthetic #dealsforyoudays  
17,7650532736557403405,hisandhercarts,1300000,2927,47,1629,859,0.004202,51.08,2026-06-12,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #17]: Natural lifestyle framing -> problem resolution -> seamless product showcase. | [TÂM LÝ KHÁCH]: Emotional connection to cozy living, relieving maintenance anxiety (no watering, no dying plants). (Khán giả phản hồi thực tế: Phân tích từ 37 bình luận thực tế: 32.4% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 8.1% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Curiosity / Lifestyle Context Hook: Opening with 'He loves his new olive tree & so do I! #olivetree #fauxolivetree ...' to capture viewer attention within 3 seconds.,"Driven by 1,300,000 views and 1,629 saves (47 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'Please order another one I need to see them to gather before I decided to buy one, can you do that for me? 😁, Does it come with that actual pot?, How does it come? How is the box where it comes?' & Rào cản/lo lắng: '$150 is expensive, Is the pot plastic?'","Emotional connection to cozy living, relieving maintenance anxiety (no watering, no dying plants). (Khán giả phản hồi thực tế: Phân tích từ 37 bình luận thực tế: 32.4% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 8.1% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Natural lifestyle framing -> problem resolution -> seamless product showcase.,"Please order another one I need to see them to gather before I decided to buy one, can you do that for me? 😁; Does it come with that actual pot?; How does it come? How is the box where it comes?; when is the 8ft with pot coming back in stock ughhhhhh",$150 is expensive; Is the pot plastic?; Is that a fake tree?,37,https://www.tiktok.com/@hisandhercarts/video/7650532736557403405,He loves his new olive tree & so do I! #olivetree #fauxolivetree 
18,7459789065181744390,living_with_lauren_,137100,1262,80,650,292,0.016659,50.08,2025-01-14,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #18]: Step-by-step unboxing/crafting -> satisfying reveal -> cost breakdown vs commercial alternatives. | [TÂM LÝ KHÁCH]: Taps into pride of home improvement and cost-saving ingenuity; viewers trust creators who build with their hands. (Khán giả phản hồi thực tế: Phân tích từ 29 bình luận thực tế: 37.9% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",DIY Craftsmanship / Process Hook: Opening with 'How I transformed my space with this faux olive tree from Temu. PS. shorts ...' to capture viewer attention within 3 seconds.,"Driven by 137,100 views and 650 saves (80 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'Is the black pot from Temu too??, What was the price on Temu for it?, I would love these do you have the link'","Taps into pride of home improvement and cost-saving ingenuity; viewers trust creators who build with their hands. (Khán giả phản hồi thực tế: Phân tích từ 29 bình luận thực tế: 37.9% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Step-by-step unboxing/crafting -> satisfying reveal -> cost breakdown vs commercial alternatives.,Is the black pot from Temu too??; What was the price on Temu for it?; I would love these do you have the link; Gorgeous what light did you use in the pot plant?,,29,https://www.tiktok.com/@living_with_lauren_/video/7459789065181744390,How I transformed my space with this faux olive tree from Temu. PS. shorts and shirt are from Temu too. 🤭🫣 #creatorsearchinsights  #interiordesign  #DIY  #myhomestyle  #budgetfriendlydecor  #temufinds  #fauxolivetree  #olivetreedecor  #neutralaesthetic  #homedecorgoals   #cozyvibes  #plantlover  @Temu 
19,7656594010143788319,fittogether_65,598000,1338,35,927,421,0.00455,48.82,2026-06-29,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #19]: Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA. | [TÂM LÝ KHÁCH]: Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price.","Bargain Discovery / Smart Shopper Hook: Opening with 'realistic olive tree, faux olive tree with pot, artificial olive tree, luxu...' to capture viewer attention within 3 seconds.","Driven by 598,000 views and 927 saves (35 comments) due to high shareability and home decor reference value.",Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price.,Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA.,,,0,https://www.tiktok.com/@fittogether_65/video/7656594010143788319,"realistic olive tree, faux olive tree with pot, artificial olive tree, luxury home decor, aesthetic living room, faux plant decor, maintenance free plant, designer inspired decor, modern farmhouse decor, decorative indoor tree, home styling ideas, elegant home accents, room makeover, TikTok home finds #DealsForYouDays #HomeDecor #OliveTree #FauxPlant #HomeFinds"
20,7488468302797229342,4shotsofbaileys,402,45,40,11,5,0.251244,48.08,2025-04-02,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #20]: Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA. | [TÂM LÝ KHÁCH]: Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price.",Bargain Discovery / Smart Shopper Hook: Opening with 'These faux olive trees from Amazon are adorable y’all 🫒#fyp #boymom #Momsof...' to capture viewer attention within 3 seconds.,Driven by 402 views and 11 saves (40 comments) due to high shareability and home decor reference value.,Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price.,Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA.,,,18,https://www.tiktok.com/@4shotsofbaileys/video/7488468302797229342,These faux olive trees from Amazon are adorable y’all 🫒#fyp #boymom #MomsofTiktok #sahm #momsover30 #under5k #follow 
21,7593769282924743967,thenatashaedit_homedecor,61500,1441,163,319,376,0.037382,47.25,2026-01-10,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #21]: 0-3s quick visual reveal -> tactile proof (touching leaves) -> styled living room context -> recommendation. | [TÂM LÝ KHÁCH]: Desire for elevated living space and prestige; validates realistic faux items as tasteful and practical. (Khán giả phản hồi thực tế: Phân tích từ 42 bình luận thực tế: 23.8% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 2.4% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Aesthetic Transformation / Visual Shock Hook: Opening with 'This is the new 8 foot olive tree from Hobby Lobby and she is glorious  @Ho...' to capture viewer attention within 3 seconds.,"Driven by 61,500 views and 319 saves (163 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'How much is this one?, Anyone catch that price tag?, I want one. I just really don’t know where to put it.' & Rào cản/lo lắng: 'My cats would knock this over for my bulldog to eat it. I wish I could have live or fake plants in my house'","Desire for elevated living space and prestige; validates realistic faux items as tasteful and practical. (Khán giả phản hồi thực tế: Phân tích từ 42 bình luận thực tế: 23.8% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 2.4% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",0-3s quick visual reveal -> tactile proof (touching leaves) -> styled living room context -> recommendation.,How much is this one?; Anyone catch that price tag?; I want one. I just really don’t know where to put it.; oh my gosh I love it. Its so gorgeous. Just needs a bigger pot,My cats would knock this over for my bulldog to eat it. I wish I could have live or fake plants in my house,42,https://www.tiktok.com/@thenatashaedit_homedecor/video/7593769282924743967,This is the new 8 foot olive tree from Hobby Lobby and she is glorious  @Hobby Lobby #hobbylobby #homedecor #organic #aesthetic #shopping 
22,7499963705677991198,bytiffanymarie,294000,1171,22,543,214,0.006633,47.05,2025-05-03,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #22]: Natural lifestyle framing -> problem resolution -> seamless product showcase. | [TÂM LÝ KHÁCH]: Emotional connection to cozy living, relieving maintenance anxiety (no watering, no dying plants). (Khán giả phản hồi thực tế: Phân tích từ 14 bình luận thực tế: 35.7% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Curiosity / Lifestyle Context Hook: Opening with 'OVER 50% OFF TODAY + FREE SHIPPING! #artificaltree #olivetree #fauxolivetre...' to capture viewer attention within 3 seconds.,"Driven by 294,000 views and 543 saves (22 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'Where is the TV table from?, Where is your tv stand from?!, Link'","Emotional connection to cozy living, relieving maintenance anxiety (no watering, no dying plants). (Khán giả phản hồi thực tế: Phân tích từ 14 bình luận thực tế: 35.7% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Natural lifestyle framing -> problem resolution -> seamless product showcase.,Where is the TV table from?; Where is your tv stand from?!; Link; Where is pot from,,14,https://www.tiktok.com/@bytiffanymarie/video/7499963705677991198,OVER 50% OFF TODAY + FREE SHIPPING! #artificaltree #olivetree #fauxolivetree #indoorplants #tiktokshopmothersday 
23,7680948592437103892,rosemarie_molina00,136500,3512,39,218,77,0.028176,46.37,2026-09-02,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #23]: 0-3s quick visual reveal -> tactile proof (touching leaves) -> styled living room context -> recommendation. | [TÂM LÝ KHÁCH]: Desire for elevated living space and prestige; validates realistic faux items as tasteful and practical.",Aesthetic Transformation / Visual Shock Hook: Opening with 'A little olive touch for a cozier home. 🌿✨ #OliveTree #ArtificialPlants #Ho...' to capture viewer attention within 3 seconds.,"Driven by 136,500 views and 218 saves (39 comments) due to high shareability and home decor reference value.",Desire for elevated living space and prestige; validates realistic faux items as tasteful and practical.,0-3s quick visual reveal -> tactile proof (touching leaves) -> styled living room context -> recommendation.,,,0,https://www.tiktok.com/@rosemarie_molina00/video/7680948592437103892,A little olive touch for a cozier home. 🌿✨ #OliveTree #ArtificialPlants #HomeAesthetic
24,7594588947905367309,megansue100,349400,1738,15,822,221,0.008002,46.2,2026-01-13,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #24]: 0-3s quick visual reveal -> tactile proof (touching leaves) -> styled living room context -> recommendation. | [TÂM LÝ KHÁCH]: Desire for elevated living space and prestige; validates realistic faux items as tasteful and practical. (Khán giả phản hồi thực tế: Phân tích từ 13 bình luận thực tế: 53.8% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Aesthetic Transformation / Visual Shock Hook: Opening with 'The most beautiful way to fill an empty space 🤩  #vitalismoshop #olivetree ...' to capture viewer attention within 3 seconds.,"Driven by 349,400 views and 822 saves (15 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'Where is the basket from?, I could by a million trees BUT WHERE ARE THE FREAKING POTS, What size did u get?'","Desire for elevated living space and prestige; validates realistic faux items as tasteful and practical. (Khán giả phản hồi thực tế: Phân tích từ 13 bình luận thực tế: 53.8% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",0-3s quick visual reveal -> tactile proof (touching leaves) -> styled living room context -> recommendation.,Where is the basket from?; I could by a million trees BUT WHERE ARE THE FREAKING POTS; What size did u get?; Where is the basket from!,,13,https://www.tiktok.com/@megansue100/video/7594588947905367309,The most beautiful way to fill an empty space 🤩  #vitalismoshop #olivetree #realisticolivetree #7ftolivetree #fauxtree 
25,7598300106558934302,bytiffanymarie,325300,1125,17,511,212,0.005733,45.69,2026-01-23,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #25]: Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA. | [TÂM LÝ KHÁCH]: Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price.","Bargain Discovery / Smart Shopper Hook: Opening with 'on sale less than $50 today for the 6ft tree, I’ve never seen the price thi...' to capture viewer attention within 3 seconds.","Driven by 325,300 views and 511 saves (17 comments) due to high shareability and home decor reference value.",Immediate fear of missing out (FOMO) and pleasure of discovering high-end luxury at a discount price.,Curiosity question ('You won't believe this price') -> visual texture zoom -> room transformation -> bio link CTA.,,,0,https://www.tiktok.com/@bytiffanymarie/video/7598300106558934302,"on sale less than $50 today for the 6ft tree, I’ve never seen the price this low.  *sale price as of 1/22/26  #fauxolivetree #olivetree #homedecor #affordablehomedecor #tiktokshopcreatorpicks "
26,7651736659637177613,hisandhercarts,1100000,1506,23,845,470,0.002585,45.63,2026-06-16,"[ĐÁNH GIÁ NGÁCH]: Cạnh tranh cao với 77 video, nhưng thị trường nóng (19.8M views) nhờ xu hướng trang trí nội thất. Cơ hội cho brand mới là giải quyết nỗi sợ 'plastic' bằng chất liệu thực tế và tạo trải nghiệm setup độc đáo. | [CHIẾN LƯỢC VIDEO #26]: Natural lifestyle framing -> problem resolution -> seamless product showcase. | [TÂM LÝ KHÁCH]: Emotional connection to cozy living, relieving maintenance anxiety (no watering, no dying plants). (Khán giả phản hồi thực tế: Phân tích từ 16 bình luận thực tế: 37.5% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Curiosity / Lifestyle Context Hook: Opening with 'He loves his new olive tree & so do I! #olivetree #fauxolivetree ...' to capture viewer attention within 3 seconds.,"Driven by 1,100,000 views and 845 saves (23 comments) due to high shareability and home decor reference value. | Ý định mua trong comment: 'how tall is it ??, 8 foot not available was gonna buy it, Is the pot included?'","Emotional connection to cozy living, relieving maintenance anxiety (no watering, no dying plants). (Khán giả phản hồi thực tế: Phân tích từ 16 bình luận thực tế: 37.5% người xem có ý định mua (hỏi link, hỏi chậu, hỏi giá). 0.0% có thắc mắc/nghi ngại về độ chân thực hoặc kích thước.)",Natural lifestyle framing -> problem resolution -> seamless product showcase.,how tall is it ??; 8 foot not available was gonna buy it; Is the pot included?; Just ordered the 7ft one with the pot from you 😊 been wanting one of these for a while,,16,https://www.tiktok.com/@hisandhercarts/video/7651736659637177613,He loves his new olive tree & so do I! #olivetree #fauxolivetree 
